cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
1-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon,266.85
"1,3-Butadiene",54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon,268.55
1-Butyne,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon,281.25
Propylamine,59.11,26,4,1,3,1,0,0,0,0,Amine,320.36
Allylamine,57.09,26,4,1,3,1,0,0,1,0,Amine,327.15
Allyl alcohol,58.08,20.2,4,1,3,0,1,0,1,0,Alcohol,370.05
Propargyl alcohol,56.06,20.2,4,1,3,0,1,0,0,1,Alcohol,386.15
"2,4,4-Trimethyl-1-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon,374.45
"2,4,4-Trimethyl-2-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon,378.05
Hexylene glycol,118.17,40.5,8,2,6,0,2,3,0,0,Alcohol,471.05
2-Methylpentane,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon,333.36
Isoamylamine,87.16,26,6,1,5,1,0,1,0,0,Amine,369.15
"1,3-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol,481.35
1-Methoxy-2-propanol,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol,393.15
"2,4-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon,353.55
"1,3-Dimethylbutylamine",101.19,26,7,1,6,1,0,2,0,0,Amine,381.95884
4-Methyl-2-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,405.15
Diisopropylamine,101.19,12,7,1,6,1,0,2,0,0,Amine,357.15
"2,6-Dimethylheptan-4-ol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol,466.15
3-Hexyn-2-OL,98.14,20.2,7,1,6,0,1,1,0,1,Alcohol,353.15
3-(Dimethylamino)propylamine,102.18,29.3,7,2,5,2,0,1,0,0,Amine,402.15
2-Isopropoxyethanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol,414.75
Pentane,72.15,0,5,0,5,0,0,0,0,0,Hydrocarbon,309.21
1-Pentene,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon,303.15
Butylamine,73.14,26,5,1,4,1,0,0,0,0,Amine,350.15
N-Methylethylenediamine,74.13,38,5,2,3,2,0,0,0,0,Amine,388.65
2-Methoxyethanol,76.09,29.5,5,2,3,0,2,0,0,0,Alcohol,397.45
Diethylamine,73.14,12,5,1,4,1,0,0,0,0,Amine,328.55
"2,5-Dimethyl-2,5-hexanediol",146.23,40.5,10,2,8,0,2,4,0,0,Alcohol,506.15
"N,N,N',N'-Tetramethylethylenediamine",116.2,6.5,8,2,6,2,0,2,0,0,Amine,394.15
n-HEXANE,86.18,0,6,0,6,0,0,0,0,0,Hydrocarbon,341.87
Amylamine,87.16,26,6,1,5,1,0,0,0,0,Amine,377.85
"1,4-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol,502.65
"But-2-ene-1,4-diol",88.11,40.5,6,2,4,0,2,1,1,0,Alcohol,404.15
"2-Butyne-1,4-diol",86.09,40.5,6,2,4,0,2,1,0,1,Alcohol,511.15
N-Methylbutylamine,87.16,12,6,1,5,1,0,0,0,0,Amine,364.15
"N,N'-Dimethylethylenediamine",88.15,24.1,6,2,4,2,0,0,0,0,Amine,393.15
2-Ethoxyethanol,90.12,29.5,6,2,4,0,2,0,0,0,Alcohol,407.85
"N,N,N',N'-Tetramethyl-1,3-propanediamine",130.229,6.5,9,2,7,2,0,2,0,0,Amine,417.15
Diisobutylamine,129.24,12,9,1,8,1,0,2,0,0,Amine,412.75
"1,1'-Oxydi-2-propanol",134.17,49.7,9,3,6,0,3,2,0,0,Alcohol,506.15
Squalane,422.8,0,30,0,30,0,0,6,0,0,Hydrocarbon,693.15
"N,N,N',N'-Tetramethyl-1,6-hexanediamine",172.31,6.5,12,2,10,2,0,2,0,0,Amine,482.65
Hexylamine,101.19,26,7,1,6,1,0,0,0,0,Amine,405.15
1-Hexanol,102.17,20.2,7,1,6,0,1,0,0,0,Alcohol,430.05
"1,5-Pentanediol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol,514.15
4-Methoxybutan-1-ol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol,428.6
3-Ethoxy-1-propanol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol,433.69704
Diethylenetriamine,103.17,64.099,7,3,4,3,0,1,0,0,Amine,479.65
2-Allyloxyethanol,102.13,29.5,7,2,5,0,2,0,1,0,Alcohol,431.65
1-Octene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon,394.45
Oct-2-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon,398.05
Heptylamine,115.22,26,8,1,7,1,0,0,0,0,Amine,426.15
1-Heptanol,116.2,20.2,8,1,7,0,1,0,0,0,Alcohol,451.15
2-Butoxyethanol,118.17,29.5,8,2,6,0,2,0,0,0,Alcohol,444.15
