cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
3-Methyl-3-buten-1-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
2-Butyn-1-OL,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol
"2,5-Dimethyl-2,4-hexadiene",110.2,0,8,0,8,0,0,2,2,0,Hydrocarbon
2-(Vinyloxy)ethanol,88.11,29.5,6,2,4,0,2,0,1,0,Alcohol
1-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
"2-Methylpropane-1,2-diamine",88.15,52,6,2,4,2,0,2,0,0,Amine
3-Ethyl-2-pentene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
1-Octyn-3-OL,126.2,20.2,9,1,8,0,1,1,0,1,Alcohol
4-Penten-1-OL,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol
1-Undecene,154.29,0,11,0,11,0,0,0,1,0,Hydrocarbon
2-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
1-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
"3,3-Dimethyl-1-Butyne",82.14,0,6,0,6,0,0,2,0,1,Hydrocarbon
"2,3,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3,4-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"4-Methyl-1,3-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
"3,5-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"N,N-Dimethylbutylamine",101.19,3.2,7,1,6,1,0,1,0,0,Amine
3-Butyn-1-OL,70.09,20.2,5,1,4,0,1,0,0,1,Alcohol
Hex-3-yne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
Dodecylamine,185.35,26,13,1,12,1,0,0,0,0,Amine
3-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
3-Ethyl-3-methylpentane,114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
"3,3-Diethylpentane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"3-Ethyl-2,4-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"1,5-Hexadiene-3,4-diol",114.14,40.5,8,2,6,0,2,2,2,0,Alcohol
"2,3,5-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,2,4,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,2-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,2,5,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,6-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,7-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
Triisobutylamine,185.35,3.2,13,1,12,1,0,4,0,0,Amine
Trioctylamine,353.7,3.2,25,1,24,1,0,1,0,0,Amine
"1,2-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol
2-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon
2-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
Undecane,156.31,0,11,0,11,0,0,0,0,0,Hydrocarbon
1-Tetradecene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
Didecylamine,297.6,12,21,1,20,1,0,0,0,0,Amine
"2,2-Dimethylbutan-1-ol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,2,3,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,5,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
2-Methoxy-1-propanol,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol
1-Heptadecanol,256.5,20.2,18,1,17,0,1,0,0,0,Alcohol
2-(2-Ethylhexyloxy)ethanol,174.28,29.5,12,2,10,0,2,1,0,0,Alcohol
2-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
2-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
2-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon
2-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
2-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
2-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
2-Methyldodecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
1-Propoxy-2-propanol,118.17,29.5,8,2,6,0,2,1,0,0,Alcohol
1-Ethoxy-2-propanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pent-3-en-2-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
"3,6-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"Penta-1,3-diene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
Pent-2-en-1-ol,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol
2-Ethyl-1-hexene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"1,9-Decadiene",138.25,0,10,0,10,0,0,0,2,0,Hydrocarbon
2-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
2-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
Decane,142.28,0,10,0,10,0,0,0,0,0,Hydrocarbon
Heptadecylamine,255.5,26,18,1,17,1,0,0,0,0,Amine
Octadecylamine,269.5,26,19,1,18,1,0,0,0,0,Amine
Pristane,268.5,0,19,0,19,0,0,4,0,0,Hydrocarbon
4-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
5-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
Nonylamine,143.27,26,10,1,9,1,0,0,0,0,Amine
Tetradecylamine,213.4,26,15,1,14,1,0,0,0,0,Amine
Hexadecyldimethylamine,269.5,3.2,19,1,18,1,0,1,0,0,Amine
"N,N-Dimethyloctylamine",157.3,3.2,11,1,10,1,0,1,0,0,Amine
"N,N-Dimethylheptylamine",143.27,3.2,10,1,9,1,0,1,0,0,Amine
3-Butyn-2-ol,70.09,20.2,5,1,4,0,1,1,0,1,Alcohol
Dipentylamine,157.3,12,11,1,10,1,0,0,0,0,Amine
"2,6-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
4-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
2-Methyl-1-penten-3-OL,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
"1,6-Hexanediamine",116.2,52,8,2,6,2,0,1,0,0,Amine
2-(Tetradecyloxy)ethanol,258.44,29.5,18,2,16,0,2,0,0,0,Alcohol
"2,4-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,5-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
4-Ethylheptane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
3-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
4-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
"Hexa-1,3,5-triene",80.13,0,6,0,6,0,0,0,3,0,Hydrocarbon
3-Methyl-2-hexanol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"2,2-Dimethylpentan-1-ol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
"2,2-Dimethyl-1-hexanol",130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
4-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
"1,6-Heptadiene",96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon
"1,8-Nonadiyne",120.19,0,9,0,9,0,0,0,0,2,Hydrocarbon
Isononyl alcohol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
Dihydromyrcene,138.25,0,10,0,10,0,0,2,2,0,Hydrocarbon
1-Tridecene,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon
2-Methyl-1-hexadecanol,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol
3-Methoxy-1-butanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pentadecylamine,227.43,26,16,1,15,1,0,0,0,0,Amine
Hexaethylene glycol,282.33,86.6,19,7,12,0,7,1,0,0,Alcohol
2-Methyl-2-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"1,12-Dodecanediamine",200.36,52,14,2,12,2,0,1,0,0,Amine
4-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
2-Propoxyethanol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
2-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
4-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
3-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"2,5-Hexanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
Didodecylamine,353.7,12,25,1,24,1,0,0,0,0,Amine
"1,1,4,7,7-Pentamethyldiethylenetriamine",173.3,9.7,12,3,9,3,0,3,0,0,Amine
"3-Hexyne-2,5-diol",114.14,40.5,8,2,6,0,2,2,0,1,Alcohol
"1,2,4-Butanetriol",106.12,60.7,7,3,4,0,3,2,0,0,Alcohol
4-Ethyl-2-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
3-Ethyl-3-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
3-Ethyl-4-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"4,4-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Tricosanol,340.6,20.2,24,1,23,0,1,0,0,0,Alcohol
2-Methyloctane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
Ocimene,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon
1-Octen-3-OL,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol
3-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2-Ethyl-1,3-butadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
"2,3-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"3,3-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"2,5-Dimethyl-2-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
N-Methyldibutylamine,143.27,3.2,10,1,9,1,0,1,0,0,Amine
1-Eicosene,280.5,0,20,0,20,0,0,0,1,0,Hydrocarbon
1-Nonyne,124.22,0,9,0,9,0,0,0,0,1,Hydrocarbon
"3,5,5-Trimethyl-1-hexanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
1-Hepten-4-OL,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol
"2,2,5-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"1,7-Octadiene",110.2,0,8,0,8,0,0,0,2,0,Hydrocarbon
"2,5-Dimethyl-2-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
4-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2,6,10-Trimethyldodecane",212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon
"2,6,10-Trimethylpentadecane",254.5,0,18,0,18,0,0,3,0,0,Hydrocarbon
2-Butyl-1-octanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"1,9-Nonanediol",160.25,40.5,11,2,9,0,2,1,0,0,Alcohol
1-Isopropoxy-2-propanol,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol
"2,2-Dimethyl-3-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
"2,3,6-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
3-Ethyl-1-pentene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2-Methyl-1,5-hexadiene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
2-Hexene,84.16,0,6,0,6,0,0,0,1,0,Hydrocarbon
"2,6-Dimethyl-2-octene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
Pentaethylenehexamine,232.37,100,16,6,10,6,0,1,0,0,Amine
But-2-en-1-ol,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol
2-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
Tetracontane,563.1,0,40,0,40,0,0,0,0,0,Hydrocarbon
"2,2,4,4,6,8,8-Heptamethylnonane",226.44,0,16,0,16,0,0,7,0,0,Hydrocarbon
"1,2,3-Butanetriol",106.12,60.7,7,3,4,0,3,2,0,0,Alcohol
Diethylbutylamine,129.24,3.2,9,1,8,1,0,1,0,0,Amine
"3-Methyl-1,5-pentanediol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
2-(2-Ethylbutoxy)ethanol,146.23,29.5,10,2,8,0,2,1,0,0,Alcohol
6-Methylhept-5-en-2-ol,128.21,20.2,9,1,8,0,1,2,1,0,Alcohol
2-Methylbut-2-en-1-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
2-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
1-Hexen-3-OL,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol
4-Methyl-1-penten-3-OL,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
3-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"N,N'-Dibutyl-1,6-hexanediamine",228.42,24.1,16,2,14,2,0,0,0,0,Amine
"2,3-Dimethyl-2-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
1-Hepten-3-OL,114.19,20.2,8,1,7,0,1,1,1,0,Alcohol
"3,7-Dimethyl-1-octene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
6-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
1-Butoxy-2-propanol,132.2,29.5,9,2,7,0,2,1,0,0,Alcohol
1-Methylpentylamine,101.19,26,7,1,6,1,0,1,0,0,Amine
2-Octyl-1-dodecanol,298.5,20.2,21,1,20,0,1,1,0,0,Alcohol
3-Methyl-3-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"1,11-Dodecadiene",166.3,0,12,0,12,0,0,0,2,0,Hydrocarbon
Ditridecylamine,381.7,12,27,1,26,1,0,0,0,0,Amine
3-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
4-Nonanol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
2-Pentanol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
2-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
7-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
3-Ethyl-1-pentyn-3-ol,112.17,20.2,8,1,7,0,1,2,0,1,Alcohol
"2,4-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Heptadecene,238.5,0,17,0,17,0,0,0,1,0,Hydrocarbon
6-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"3,4-Diethyl-3,4-hexanediol",174.28,40.5,12,2,10,0,2,4,0,0,Alcohol
2-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
2-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
Tetratetracontane,619.2,0,44,0,44,0,0,0,0,0,Hydrocarbon
"5,5-Dimethylhex-1-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyl-2-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"3,3,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
Heptatriacontane,521,0,37,0,37,0,0,0,0,0,Hydrocarbon
"3,7,11-Trimethyldodecan-3-ol",228.41,20.2,16,1,15,0,1,4,0,0,Alcohol
"3,4,4-Trimethyl-3-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
"3,4-Dimethyl-1-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
5-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
2-(Dodecyloxy)ethanol,230.39,29.5,16,2,14,0,2,0,0,0,Alcohol
1-(2-Butoxy-1-methylethoxy)propan-2-ol,190.28,38.7,13,3,10,0,3,2,0,0,Alcohol
Sec-butylamine,73.14,26,5,1,4,1,0,1,0,0,Amine
"2,3-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
2-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
5-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
Tetradec-7-ene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
"N,N'-Bis(3-aminopropyl)ethylenediamine",174.29,76.1,12,4,8,4,0,1,0,0,Amine
3-Methylhex-2-ene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"2,3-Dimethyl-2-pentene",98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
9-Decen-1-OL,156.26,20.2,11,1,10,0,1,0,1,0,Alcohol
"4,8,12-Trioxatridecan-1-ol",206.28,47.9,14,4,10,0,4,0,0,0,Alcohol
3-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
6-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
1-Pentadecene,210.4,0,15,0,15,0,0,0,1,0,Hydrocarbon
1-(2-Methoxypropoxy)-2-propanol,148.2,38.7,10,3,7,0,3,2,0,0,Alcohol
5-Ethyl-2-methylheptane,142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,2,3,3-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,2,4,6,6-Pentamethylheptane",170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
"2,3-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
Tetratriacontane,478.9,0,34,0,34,0,0,0,0,0,Hydrocarbon
"2,2,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
4-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"2,7-Dimethyl-1-octanol",158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
5-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
2-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"4,5-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
"2,2,3-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,2,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,3,3-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,4,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3,3,4-Trimethylhexane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,2-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"3-Ethyl-2,3-dimethylpentane",128.25,0,9,0,9,0,0,3,0,0,Hydrocarbon
"2,3,3,4-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"2,2,4,5-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
"2,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,8-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
4-Methylnonane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
"2,5-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,6-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"3,7-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,2-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
"3,7-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
3-Methyldodecane,184.36,0,13,0,13,0,0,1,0,0,Hydrocarbon
"3,3-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,4-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"5,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"6,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,5-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,4-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"2,6,10,14-Tetramethylheptadecane",296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon
1-Nonadecene,266.5,0,19,0,19,0,0,0,1,0,Hydrocarbon
Dihydromyrcenol,156.26,20.2,11,1,10,0,1,3,1,0,Alcohol
1-Hexacosene,364.7,0,26,0,26,0,0,0,1,0,Hydrocarbon
2-Ethoxy-1-propanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
"2,6-Dimethyl-3-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"3,5-Dimethyl-4-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
"2,3-Dimethylbutan-1-ol",102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
7-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
"1,12-Tridecadiene",180.33,0,13,0,13,0,0,0,2,0,Hydrocarbon
"1,13-Tetradecadiene",194.36,0,14,0,14,0,0,0,2,0,Hydrocarbon
Di-tert-butylamine,129.24,12,9,1,8,1,0,4,0,0,Amine
8-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
Tributylborane,182.16,0,13,0,12,0,0,2,0,0,Hydrocarbon
Myrcene,136.23,0,10,0,10,0,0,2,3,0,Hydrocarbon
"2,2,4-Trimethyl-1-pentanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
Isoamyl alcohol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
Diallylamine,97.16,12,7,1,6,1,0,0,2,0,Amine
1-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
1-(2-Butoxyethoxy)-2-propanol,176.25,38.7,12,3,9,0,3,1,0,0,Alcohol
Neopentyl glycol,104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
Dipentaerythritol,254.28,131,17,7,10,0,7,5,0,0,Alcohol
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",226.35,40.5,16,2,14,0,2,6,0,1,Alcohol
"2,2,5,5-Tetramethylhex-3-ene",140.27,0,10,0,10,0,0,4,1,0,Hydrocarbon
"5,5-Dimethyl-3-heptyne",124.22,0,9,0,9,0,0,2,0,1,Hydrocarbon
6-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
Tripropylene glycol,192.25,58.9,13,4,9,0,4,3,0,0,Alcohol
5-Methylpentadecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"4-Methylhepta-1,6-dien-4-ol",126.2,20.2,9,1,8,0,1,2,2,0,Alcohol
2-(2-Hydroxypropoxy)propan-1-ol,134.17,49.7,9,3,6,0,3,2,0,0,Alcohol
Isodecanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
trans-2-Decene,140.27,0,10,0,10,0,0,0,1,0,Hydrocarbon
2-Tridecene,182.35,0,13,0,13,0,0,0,1,0,Hydrocarbon
Oct-3-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
"2,5-Dimethyl-1-hexene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
7-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
2-Hexyne,82.14,0,6,0,6,0,0,0,0,1,Hydrocarbon
2-Tetradecene,196.37,0,14,0,14,0,0,0,1,0,Hydrocarbon
4-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
2-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
Isotridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
"2,6-Nonadien-1-ol",140.22,20.2,10,1,9,0,1,0,2,0,Alcohol
3-Heptanamine,115.22,26,8,1,7,1,0,1,0,0,Amine
"2,6,11-Trimethyldodecane",212.41,0,15,0,15,0,0,3,0,0,Hydrocarbon
3-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
Hept-2-en-1-ol,114.19,20.2,8,1,7,0,1,0,1,0,Alcohol
N-Methylhexylamine,115.22,12,8,1,7,1,0,0,0,0,Amine
"1,10-Decanediol",174.28,40.5,12,2,10,0,2,1,0,0,Alcohol
2-(Tridecyloxy)ethanol,244.41,29.5,17,2,15,0,2,0,0,0,Alcohol
"1,3-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
Tridecylamine,199.38,26,14,1,13,1,0,0,0,0,Amine
1-Methoxy-2-butanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
7-Octen-4-OL,128.21,20.2,9,1,8,0,1,1,1,0,Alcohol
5-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
5-Hexen-2-OL,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol
10-Methylicosane,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon
"2,6,10,15-Tetramethylheptadecane",296.6,0,21,0,21,0,0,4,0,0,Hydrocarbon
"2,6,10-Trimethylhexadecane",268.5,0,19,0,19,0,0,3,0,0,Hydrocarbon
"4,8-Dimethyltridecane",212.41,0,15,0,15,0,0,2,0,0,Hydrocarbon
5-Propyltridecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
4-Ethyltetradecane,226.44,0,16,0,16,0,0,1,0,0,Hydrocarbon
"2,6,10,14-Tetramethylnonadecane",324.6,0,23,0,23,0,0,4,0,0,Hydrocarbon
"2,2,3-Trimethylnonane",170.33,0,12,0,12,0,0,3,0,0,Hydrocarbon
"3,6-Nonadien-1-ol",140.22,20.2,10,1,9,0,1,0,2,0,Alcohol
2-Heptadecanol,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol
Diglycerol,166.17,90.2,11,5,6,0,5,3,0,0,Alcohol
2-Methylhexan-1-ol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
"2,3,7-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2-Ethyl-1,3-butanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
3-Ethylheptane,128.25,0,9,0,9,0,0,1,0,0,Hydrocarbon
"N,N-Diethylethylenediamine",116.2,29.3,8,2,6,2,0,1,0,0,Amine
3-(Diethylamino)propylamine,130.229,29.3,9,2,7,2,0,1,0,0,Amine
